2026-01-11T04:34:19.000000000Z [inf]  Starting Container
2026-01-11T04:34:28.818026834Z [err]      module = importlib.import_module(module_str)
2026-01-11T04:34:28.818035425Z [err]               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.818043596Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2026-01-11T04:34:28.818052180Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2026-01-11T04:34:28.818059212Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.818064079Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2026-01-11T04:34:28.818068923Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2026-01-11T04:34:28.818074411Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2026-01-11T04:34:28.818078978Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2026-01-11T04:34:28.818085389Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2026-01-11T04:34:28.818090332Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2026-01-11T04:34:28.818096018Z [err]    File "/app/app/main.py", line 4, in <module>
2026-01-11T04:34:28.818100668Z [err]      from app.api import router
2026-01-11T04:34:28.818105848Z [err]    File "/app/app/api/__init__.py", line 6, in <module>
2026-01-11T04:34:28.818113843Z [err]      from app.channels.telegram.webhook import router as telegram_router
2026-01-11T04:34:28.818122705Z [err]    File "/app/app/channels/telegram/__init__.py", line 11, in <module>
2026-01-11T04:34:28.818130516Z [err]      from .handler import TelegramChannel
2026-01-11T04:34:28.818137834Z [err]    File "/app/app/channels/telegram/handler.py", line 13, in <module>
2026-01-11T04:34:28.818146872Z [err]      from app.config import settings
2026-01-11T04:34:28.818155234Z [err]    File "/app/app/config.py", line 125, in <module>
2026-01-11T04:34:28.818162938Z [err]      settings: Settings = get_settings()
2026-01-11T04:34:28.818170878Z [err]                           ^^^^^^^^^^^^^^
2026-01-11T04:34:28.818177455Z [err]    File "/app/app/config.py", line 122, in get_settings
2026-01-11T04:34:28.818183428Z [err]      return Settings()
2026-01-11T04:34:28.818191438Z [err]             ^^^^^^^^^^
2026-01-11T04:34:28.818199073Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic_settings/main.py", line 188, in __init__
2026-01-11T04:34:28.818206286Z [err]      super().__init__(
2026-01-11T04:34:28.818213686Z [err]    File "/usr/local/lib/python3.11/site-packages/pydantic/main.py", line 253, in __init__
2026-01-11T04:34:28.818223034Z [err]      validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
2026-01-11T04:34:28.818231805Z [err]                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:28.818240122Z [err]  pydantic_core._pydantic_core.ValidationError: 1 validation error for Settings
2026-01-11T04:34:28.818249418Z [err]  PAGE_ID
2026-01-11T04:34:28.818257337Z [err]    Field required [type=missing, input_value={'INSTAGRAM_ACCESS_TOKEN'... 'AGENT_MODE': 'social'}, input_type=dict]
2026-01-11T04:34:28.818265884Z [err]      For further information visit https://errors.pydantic.dev/2.11/v/missing
